dispatch_id,module_name,mean_time,mean_unit,mean_time_ns,returncode,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation,name
35,yolov8_nano$dispatch_35_rvv_x60_conv2d_batchnorm2d_silu_s8,0.454333,ms,454333.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=2;IW=3;OC=128;OH=2;OW=3;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,10904,5,0.16,curated[rvv],l8.m0.cv2.conv
36,yolov8_nano$dispatch_36_rvv_x60_add_s8,0.004542,ms,4541.667,0,k1,add_s8,n=768,109,5,5.04,curated[rvv],add_5
37,yolov8_nano$dispatch_37_rvv_x60_cat3_c1_s8,0.025167,ms,25166.667,0,k1,cat3_c1_s8,N=1;H=2;W=3;C_inputs=128|128|128;C_total=384,604,5,0.66,curated[rvv],cat_3
38,yolov8_nano$dispatch_38_rvv_x60_conv2d_batchnorm2d_silu_s8,0.591375,ms,591375.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=384;IH=2;IW=3;OC=256;OH=2;OW=3;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,14193,5,3.60,curated[rvv],l8.cv2.conv
39,yolov8_nano$dispatch_39_rvv_x60_conv2d_batchnorm2d_silu_s8,0.242208,ms,242208.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=256;IH=2;IW=3;OC=128;OH=2;OW=3;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,5813,5,0.25,curated[rvv],l9.cv1.conv
40,yolov8_nano$dispatch_40_rvv_x60_maxpool2d_s8,0.120458,ms,120458.333,0,k1,maxpool2d_s8,N=1;C=128;IH=2;IW=3;OH=2;OW=3;KH=5;KW=5;SH=1;SW=1;PH=2;PW=2;DH=1;DW=1,2891,5,0.50,curated[rvv],l9.m1
41,yolov8_nano$dispatch_41_rvv_x60_maxpool2d_s8,0.117625,ms,117625.000,0,k1,maxpool2d_s8,N=1;C=128;IH=2;IW=3;OH=2;OW=3;KH=5;KW=5;SH=1;SW=1;PH=2;PW=2;DH=1;DW=1,2823,5,0.49,curated[rvv],l9.m2
42,yolov8_nano$dispatch_42_rvv_x60_maxpool2d_s8,0.118875,ms,118875.000,0,k1,maxpool2d_s8,N=1;C=128;IH=2;IW=3;OH=2;OW=3;KH=5;KW=5;SH=1;SW=1;PH=2;PW=2;DH=1;DW=1,2853,5,17.22,curated[rvv],l9.m3
43,yolov8_nano$dispatch_43_rvv_x60_cat4_c1_s8,0.004375,ms,4375.000,0,k1,cat4_c1_s8,N=1;H=2;W=3;C_inputs=128|128|128|128;C_total=512,105,5,1.85,curated[rvv],cat_4
44,yolov8_nano$dispatch_44_rvv_x60_conv2d_batchnorm2d_silu_s8,0.746833,ms,746833.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=512;IH=2;IW=3;OC=256;OH=2;OW=3;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,17924,5,2.08,curated[rvv],l9.cv2.conv
45,yolov8_nano$dispatch_45_rvv_x60_upsample_nearest_s8,0.045292,ms,45291.667,0,k1,upsample_nearest_s8,N=1;C=256;IH=2;IW=3;scale=2,1087,5,0.78,curated[rvv],l10
46,yolov8_nano$dispatch_46_rvv_x60_cat2_c1_s8,0.024750,ms,24750.000,0,k1,cat2_c1_s8,N=1;H=4;W=6;C_inputs=256|128;C_total=384,594,5,0.51,curated[rvv],cat_5
47,yolov8_nano$dispatch_47_rvv_x60_conv2d_batchnorm2d_silu_s8,1.151875,ms,1151875.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=384;IH=4;IW=6;OC=128;OH=4;OW=6;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,27645,5,2.09,curated[rvv],l12.cv1.conv
49,yolov8_nano$dispatch_49_rvv_x60_conv2d_batchnorm2d_silu_s8,0.544958,ms,544958.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13079,5,0.42,curated[rvv],l12.m0.cv1.conv
50,yolov8_nano$dispatch_50_rvv_x60_conv2d_batchnorm2d_silu_s8,0.531708,ms,531708.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,12761,5,2.60,curated[rvv],l12.m0.cv2.conv
51,yolov8_nano$dispatch_51_rvv_x60_cat3_c1_s8,0.013417,ms,13416.667,0,k1,cat3_c1_s8,N=1;H=4;W=6;C_inputs=64|64|64;C_total=192,322,5,2.01,curated[rvv],cat_6
52,yolov8_nano$dispatch_52_rvv_x60_conv2d_batchnorm2d_silu_s8,0.671083,ms,671083.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=192;IH=4;IW=6;OC=128;OH=4;OW=6;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,16106,5,0.10,curated[rvv],l12.cv2.conv
