seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
107,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_18_conv2,HTA,1,1679.745710,6.219480,2,14227.809579,14227.809839,14227.818739,14234.326292
108,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_18_tramp_p2,DSP,1,1685.965190,49.822900,1,14313.455353,14313.455770,14313.458945,14358.533978
109,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_18,CPU,1,1735.788090,36.328440,0,14358.740029,14358.740185,14431.042598,14475.056876
110,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p0,DSP,1,1772.116530,1.688880,1,14475.424010,14475.424166,14475.435356,14477.921710
111,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_19_conv1,HTA,1,1773.805410,3.200220,2,14477.959808,14477.960069,14477.966106,14481.537260
112,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p1,DSP,1,1777.005630,6.691970,1,14547.136739,14547.136895,14547.140226,14552.698455
113,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_19_conv2,HTA,1,1783.697600,9.383160,2,14576.429054,14576.429314,14576.434831,14585.003416
114,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p2,DSP,1,1793.080760,21.578160,1,14707.291947,14707.292260,14707.295643,14727.086808
115,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_19,CPU,1,1814.658920,9.172720,0,14727.129798,14727.130006,14727.133129,14737.702372
116,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_20_tramp_p0,DSP,1,1823.831640,18.523800,1,14737.746768,14737.746872,14737.752909,14754.372219
117,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_20_conv1,HTA,1,1842.355440,15.897770,2,14760.093665,14760.094081,14760.099494,14780.257742
118,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_20_tramp_p1,DSP,1,1858.253210,6.450190,1,14780.288033,14780.288293,14780.292456,14785.805041
119,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_20_conv2,HTA,1,1864.703400,6.185450,2,14801.384830,14801.385039,14801.390764,14808.520269
120,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_20_tramp_p2,DSP,1,1870.888850,49.856450,1,14837.474820,14837.475236,14837.478775,14883.222068
121,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_20,CPU,1,1920.745300,36.510080,0,14948.369919,14948.370075,14948.375540,14985.245810
122,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_21_tramp_p0,DSP,1,1957.255380,1.664770,1,15042.870822,15042.870979,15042.879462,15044.430551
123,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_21_conv1,HTA,1,1958.920150,3.195520,2,15044.459698,15044.459958,15044.465007,15047.580664
124,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_21_tramp_p1,DSP,1,1962.115670,6.357460,1,15047.596487,15047.596591,15047.598673,15053.019389
125,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_21_conv2,HTA,1,1968.473130,9.321380,2,15119.391622,15119.391778,15119.403541,15129.516091
126,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_21_tramp_p2,DSP,1,1977.794510,21.230790,1,15283.370580,15283.370736,15283.381458,15302.375617
127,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_21,CPU,1,1999.025300,9.164550,0,15302.404139,15302.404347,15302.407106,15312.939788
128,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_22_tramp_p0,DSP,1,2008.189850,18.883080,1,15316.527991,15316.528252,15316.532936,15332.733824
129,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_22_conv1,HTA,1,2027.072930,16.053990,2,15332.767343,15332.767551,15332.775098,15351.216662
130,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_22_tramp_p1,DSP,1,2043.126920,6.848530,1,15362.521531,15362.521739,15362.531629,15367.680289
131,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_22_conv2,HTA,1,2049.975450,6.217930,2,15401.518439,15401.518543,15401.528901,15407.687609
132,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_22_tramp_p2,DSP,1,2056.193380,50.254730,1,15484.447466,15484.447622,15484.459593,15528.781241
133,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_22,CPU,1,2106.448110,35.888020,0,15529.034403,15529.034559,15529.041326,15573.037516
134,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_23_tramp_p0,DSP,1,2142.336130,1.674510,1,15573.317535,15573.317639,15573.330651,15575.802368
135,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_23_conv1,HTA,1,2144.010640,3.289740,2,15576.033150,15576.033306,15576.042883,15580.642122
136,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_23_tramp_p1,DSP,1,2147.300380,6.994330,1,15580.928075,15580.928179,15580.934269,15587.604923
137,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_23_conv2,HTA,1,2154.294710,9.268290,2,15587.820246,15587.820402,15587.829042,15596.743078
138,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_23_tramp_p2,DSP,1,2163.563000,21.760380,1,15596.773058,15596.773214,15596.779460,15615.507704
139,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_23,CPU,1,2185.323380,9.163090,0,15615.584215,15615.584476,15615.587807,15626.161711
140,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_24,CPU,1,2194.486470,77.804310,0,15626.176962,15626.177066,15626.180032,15711.141073
